IncidentId,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus
24436019,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,BARDSTOWN,RD,,,GRINSTEAD,,,,,38.23855613,-85.72115038,15.437,12/30/2018,1651,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43465.43922,FALSE,5207,Accepted
24449664,0560300,ST. MATTHEWS POLICE DEPARTMENT,Accepted,JEFFERSON,,117,ST MATTHEWS,AVE,,,,,,,,38.25275058,-85.65253997,0.006,12/29/2018,2315,2,1,0,1,CLOUDY,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY NOT LIGHTED,,,43468.62742,FALSE,9155,Accepted
24465922,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1447,,WESTPORT,RD,,,GOOSE CREEK,,,,,38.28602118,-85.5776082,4.941,12/28/2018,0654,2,1,1,0,RAINING,WET,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,CURVE & GRADE,DARK-HWY NOT LIGHTED,,,43472.66276,FALSE,7720,Accepted
24435929,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,35TH,ST,N,,,,,,,38.27045314,-85.80489266,0.301,12/20/2018,2234,2,1,1,0,CLOUDY,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,,,43465.43639,FALSE,7072,Accepted
24395667,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,CENTRAL,AVE,,,COLORADO,,,,,38.21074622,-85.77960742,1.382,12/18/2018,1459,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43453.37997,FALSE,7249,Accepted
24392156,0560300,ST. MATTHEWS POLICE DEPARTMENT,Accepted,JEFFERSON,US0060,4305,SHELBYVILLE,RD,,,,,,,,38.2513364,-85.636273,4.61,12/17/2018,1731,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,,,43452.57422,FALSE,9155,Accepted
24436046,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0864,,POPLAR LEVEL,RD,,,,,,,,38.19557863,-85.70758084,11.326,12/13/2018,1826,2,1,0,1,CLOUDY,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,43465.44016,FALSE,7628,Accepted
24370795,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,LAMBORNE,BLVD,,,,,SCARBOROUGH,KY0907,3RD ST,38.11561447,-85.81397389,0.059,12/12/2018,1749,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & HILLCREST,DARK-HWY NOT LIGHTED,,,43447.39647,FALSE,7385,Accepted
24374757,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,US0060A,3800,7TH ST,RD,,,,,PARK,,LEROY,38.19449153,-85.80387479,0.269,12/11/2018,1919,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43448.12107,FALSE,7067,Accepted
24390181,0561000,JEFFERSONTOWN POLICE DEPT,Accepted,JEFFERSON,KY1747,,HURSTBOURNE,PKWY,S,,STONY BROOK,,,,,38.21102903,-85.59767412,10.54,12/11/2018,0634,2,1,1,0,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,43452.29903,FALSE,8309,Accepted
